"NHS_Trust
",Num_op_Normal,Impat_Readd_SSI_Normal,Years recorded,,,,,
Aintree University Hospital NHS Foundation Trust,645,2,2,,,,,
Airedale NHS Foundation Trust,348,0,2,,,,,
Alder Hey Children's NHS Foundation Trust ,0,0,0,,,,,
Ashford and St Peter's Hospitals NHS Foundation Trust,2203,5,5,,,,,
"Barking, Havering and Redbridge University Hospitals NHS Trust",1332,12,5,,,,,
Barnsley Hospital NHS Foundation Trust,1070,5,4,,,,,
Barts Health NHS Trust,1332,1,5,,,,,
Basildon and Thurrock University Hospitals NHS Foundation Trust,456,0,3,,,,,
Bedford Hospital NHS Trust,538,2,3,,,,,
Bedfordshire Hospitals NHS Foundation Trust,574,1,2,,,,,
Blackpool Teaching Hospitals NHS Foundation Trust,1269,23,5,,,,,
Bolton NHS Foundation Trust,476,0,4,,,,,
Bradford Teaching Hospitals NHS Foundation Trust,432,0,4,,,,,
Buckinghamshire Healthcare NHS Trust,1317,4,3,,,,,
Burton Hospitals NHS Foundation Trust,321,1,1,,,,,
Cambridge University Hospitals NHS Foundation Trust,460,0,1,,,,,
Chelsea and Westminster Hospital NHS Foundation Trust,1468,13,5,,,,,
Chesterfield Royal Hospital NHS Foundation Trust,340,0,1,,,,,
City Hospitals Sunderland NHS Foundation Trust,931,11,2,,,,,
Colchester Hospital University NHS Foundation Trust,462,0,1,,,,,
Countess of Chester Hospital NHS Foundation Trust,621,4,4,,,,,
County Durham and Darlington NHS Foundation Trust,572,4,2,,,,,
Dartford and Gravesham NHS Trust,1851,12,5,,,,,
Derby Teaching Hospitals NHS Foundation Trust,836,4,1,,,,,
Doncaster and Bassetlaw Hospitals NHS Foundation Trust,1289,9,5,,,,,
Dorset County Hospital NHS Foundation Trust,912,12,3,,,,,
East and North Hertfordshire NHS Trust,1616,10,5,,,,,
East Cheshire NHS Trust,943,0,5,,,,,
East Kent Hospitals University NHS Foundation Trust,3504,5,5,,,,,
East Lancashire Hospitals NHS Trust,1391,2,5,,,,,
East Suffolk and North Essex Foundation Trust ,2047,8,4,,,,,
East Sussex Healthcare NHS Trust,1611,23,5,,,,,
Epsom and St Helier University Hospitals NHS Trust,6715,33,5,,,,,
Frimley Health NHS Foundation Trust,3996,15,5,,,,,
Gateshead Health NHS Foundation Trust,1246,6,5,,,,,
George Eliot Hospital NHS Trust,717,5,5,,,,,
Gloucestershire Hospitals NHS Foundation Trust,3757,40,5,,,,,
Great Western Hospitals NHS Foundation Trust ,1012,8,2,,,,,
Guy's and St Thomas' NHS Foundation Trust,1841,12,5,,,,,
Hampshire Hospitals NHS Foundation Trust,2200,3,5,,,,,
Harrogate and District NHS Foundation Trust,776,16,2,,,,,
Homerton University Hospital NHS Foundation Trust,357,1,4,,,,,
Hull and East Yorkshire Hospitals NHS Trust,608,0,2,,,,,
Imperial College Healthcare NHS Trust,1118,2,5,,,,,
Ipswich Hospital NHS Trust,151,1,1,,,,,
Isle of Wight NHS Trust,977,8,5,,,,,
James Paget University Hospitals NHS Foundation Trust,1969,6,5,,,,,
Kettering General Hospital NHS Foundation Trust,849,0,5,,,,,
King's College Hospital NHS Foundation Trust,2581,4,5,,,,,
Lancashire Teaching Hospitals NHS Foundation Trust,1022,3,5,,,,,
Liverpool University Hospitals NHS Foundation Trust,1294,8,3,,,,,
London North West Healthcare NHS Trust,602,0,3,,,,,
London North West University Healthcare NHS Trust,113,0,1,,,,,
Luton and Dunstable University Hospital NHS Foundation Trust,814,4,0,,,,,
Maidstone and Tunbridge Wells NHS Trust,2199,15,5,,,,,
Manchester University NHS Foundation Trust,1854,3,5,,,,,
Medway NHS Foundation Trust,855,5,5,,,,,
Mid and South Essex NHS Foundation Trust,457,0,2,,,,,
Mid Cheshire Hospitals NHS Foundation Trust,837,0,5,,,,,
Mid Essex Hospital Services NHS Trust,986,2,3,,,,,
Mid Yorkshire Hospitals NHS Trust,376,0,1,,,,,
